id_kabkota,status,tgl_input,jumlah
443,4,2020-04-03,49
443,7,2020-04-03,10
443,4,2020-04-04,2
443,4,2020-04-06,1
443,7,2020-04-07,4
443,7,2020-04-09,10
443,6,2020-04-09,5
443,7,2020-04-10,2
443,7,2020-04-11,1
443,7,2020-04-12,3
443,7,2020-04-13,1
443,7,2020-04-15,4
443,11,2020-04-15,3
443,7,2020-04-16,6
443,5,2020-04-16,1
443,11,2020-04-16,1
443,6,2020-04-17,3
443,4,2020-04-21,1
443,6,2020-04-21,16
443,11,2020-04-21,1
443,4,2020-04-23,2
443,7,2020-04-23,5
443,7,2020-04-24,4
443,11,2020-04-24,3
443,4,2020-04-26,1
443,2,2020-04-28,13
443,7,2020-04-28,2
443,6,2020-04-30,74
443,2,2020-04-30,-1
443,4,2020-04-30,1
