id_kabkota,status,tgl_input,jumlah
476,4,2020-04-03,105
476,7,2020-04-03,19
476,5,2020-04-03,10
476,8,2020-04-03,6
476,2,2020-04-03,4
476,3,2020-04-03,2
476,4,2020-04-05,5
476,7,2020-04-05,1
476,5,2020-04-05,-1
476,8,2020-04-05,-1
476,4,2020-04-07,1
476,7,2020-04-07,26
476,5,2020-04-07,1
476,6,2020-04-09,50
476,11,2020-04-09,23
476,4,2020-04-10,7
476,7,2020-04-10,5
476,5,2020-04-10,3
476,6,2020-04-10,6
476,3,2020-04-10,-1
476,2,2020-04-10,-1
476,2,2020-04-13,1
476,3,2020-04-13,1
476,4,2020-04-14,1
476,7,2020-04-14,6
476,7,2020-04-15,1
476,5,2020-04-15,2
476,8,2020-04-15,5
476,6,2020-04-15,6
476,11,2020-04-15,32
476,4,2020-04-17,2
476,7,2020-04-17,7
476,5,2020-04-17,2
476,11,2020-04-17,1
476,4,2020-04-18,11
476,7,2020-04-18,17
476,8,2020-04-18,1
476,2,2020-04-18,2
476,4,2020-04-21,2
476,6,2020-04-21,23
476,2,2020-04-21,1
476,4,2020-04-23,7
476,7,2020-04-23,14
476,5,2020-04-23,9
476,8,2020-04-23,3
476,6,2020-04-23,25
476,11,2020-04-23,8
476,2,2020-04-23,0
476,5,2020-04-24,2
476,8,2020-04-24,5
476,6,2020-04-24,2
476,3,2020-04-24,1
476,2,2020-04-24,1
476,4,2020-04-27,1
476,7,2020-04-27,1
476,8,2020-04-27,1
476,6,2020-04-27,4
476,11,2020-04-28,3
476,4,2020-04-28,4
476,5,2020-04-28,2
476,8,2020-04-28,2
476,2,2020-04-28,6
476,3,2020-04-28,3
476,6,2020-04-29,3
476,11,2020-04-29,2
476,4,2020-04-29,1
476,7,2020-04-29,18
476,5,2020-04-29,1
476,2,2020-04-30,1
